,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
0,Accenture,Sydney NSW,Australie,Expression of Interest: Customer Data Science Senior Manager,,"Posted
Posted 30+ days ago","Proven experience in a senior data science or analytics role, with a background in customer and marketing analytics and modelling.
18 weeks paid parental leave."
1,Sportsbet,Melbourne VIC,Australie,Data Scientist,,"Posted
Posted 6 days ago","From sports modelling to product personalisation, our team thrives on unleashing the power of data to improve the quality, speed and complexity of the decisions…"
2,Black.ai,Australia,Australie,Machine Learning Engineer,,"Posted
Posted 30+ days ago","Masters or PhD in fields related to computer science, mathematics, or data science OR equivalent work/industry experience.
Experience with Pytorch or TensorRT."
3,Google,Sydney NSW,Australie,"Research Engineer, Multilingual NLP, Google Research",,"Posted
Just posted","Experience with programming languages (e.g. Python or C/C++).
PhD in Computer Science, a related technical field, or equivalent practical experience."
4,Australian Government,Sydney NSW,Australie,"Executive Level 1 - Senior Data Analyst, Data Analytics Section",,"Posted
Posted 14 days ago","Scenario models will be as much part of your work as diverse customised data cuts, using many of the department’s and government’s most extensive and complex…"
5,Jobs for Humanity,Sydney NSW,Australie,Senior/Staff Machine Learning Engineer,,"Posted
Posted 30+ days ago","Build and productionise machine learning models including data preparation/processing pipelines, machine learning orchestrations, improvements of services…"
6,Digital Resources Australia,Northbridge WA 6003,Australie,DATA SCIENCE AND ANALYTICS,,"Posted
Posted 30+ days ago","Few industries offer as much promise in Australia right now as those in data science and data engineering, with the field exploring thanks to advances in…"
7,T. Rowe Price,Sydney NSW 2000,Australie,"Lead Analyst, Data Analytics, APAC",,"Posted
Posted 2 days ago","Continuously improves data analytics processes.
Advanced degree with analytical or quantitative elements.
Responsible for advanced data visualizations to assist…"
8,Willow Technology Corporation,Hybrid remote in Sydney NSW,Australie,Machine Learning Developer,,"Posted
Posted 30 days ago","Expertise in data cleaning/manipulation/augmentation.
Demonstrated experience in handling large data sets and relational databases."
9,BHP,Brisbane QLD,Australie,Data Scientist,,"Posted
Posted 10 days ago","Apply machine learning and statistical modelling techniques.
You will have a related tertiary qualification in Engineering, Computer Science, Mathematics or…"
10,Microsoft,Sydney NSW 2000,Australie,Digital Technology Specialist - Data & AI,,"Posted
Posted 13 days ago","Ideally 7+ years technical pre-sales or technical consulting, or related experience.
OR Bachelor’s Degree in Computer Science, Information Technology, or…"
11,Accenture,Melbourne VIC,Australie,Expression of Interest: Customer Data & AI Consulting Senior Manager,,"Posted
Posted 30+ days ago","Proven experience in a data science, analytics, or performance marketing role, preferably within the consulting sector."
12,Google,Remote in Sydney NSW,Australie,"Student Researcher, 2024",,"Posted
Posted 7 days ago","Experience contributing to research communities or efforts, including publishing papers in conferences or journals.
Ability to communicate in English fluently."
13,Treasury Wine Estates,Melbourne VIC 3000,Australie,Manager Data Analytics & Insights,,"Posted
Posted 30+ days ago","Create a yearly data & analytics roadmap using internal and external data sources.
Expand TPB's capability into predictive analytics with consumer data."
14,Powerlink,Brisbane QLD,Australie,Data & Analytics Partner,,"Posted
Posted 30+ days ago","Bachelor's Degree coupled with significant experience in finance and data analytics.
Applying advanced data modelling techniques to convert raw data into…"
15,The Smith Family,New South Wales,Australie,"Group Manager, Data & AI",,"Posted
Posted 29 days ago","Familiarity with data laws and ethical considerations in data usage.
Development and execution of a comprehensive strategy that integrates advanced analytics,…"
16,NSW Government -Agency for Clinical Innovation,New South Wales,Australie,"Stream Manager, Innovation Modelling & Data Science",,"Posted
Posted 8 days ago","Relevant tertiary qualifications and extensive experience in biostatistics, machine learning, computer science or a related discipline."
17,Mars,Bathurst NSW 2795,Australie,Data and Analytics Lead,,"Posted
Posted 7 days ago","Align data and analytics efforts with the factory's operational strategy, ensuring that solutions directly address critical business needs and drive measurable…"
18,Velrada,Greater Adelaide SA,Australie,Data and AI Consultant,,"Posted
Posted 30+ days ago","Development across Business Intelligence, Data Analysis and data warehousing, you will be a solutions focused data insights person."
19,Holcim,Chatswood NSW 2067,Australie,Head of Data Analytics & Data Management,,"Posted
Today","You will take a leading role in the development and execution of strategy development with regard to the collection, manipulation, and analysis of data for…"
20,South East Water Corporation,Hybrid remote in Frankston VIC,Australie,Data Analytics Developer (2-year contract),,"Posted
Posted 30+ days ago","You have demonstrated experience in operations research, mathematics, data mining, machine learning or computer engineering and have experience with a wide…"
21,Office of the Australian Information Commissioner,Hybrid remote in Darwin NT,Australie,"APS5/6 Data and Reporting Analyst, Business Analytics, Data and Reporting",,"Posted
Posted 30+ days ago","Other ad-hoc data requests.
As a Data and Reporting Analyst, you’ll use your experience and understanding of data analysis and business knowledge to address…"
22,JLL,Sydney NSW,Australie,Machine Learning Engineer,,"Posted
Posted 30+ days ago","Study and transformation of data science prototypes.
Experience in software development & machine learning.
Familiarity with machine learning frameworks (like…"
23,Foxtel Group,Hybrid remote in North Ryde NSW,Australie,Data & Analytics Specialist,,"Posted
Posted 1 day ago","Define and build data products that enable the business to understand and action data insights.
Visualisation of data from data products, analysis and ML models…"
24,REA Group,Hybrid remote in Melbourne VIC,Australie,Senior Machine Learning Engineer,,"Posted
Posted 2 days ago","Tertiary qualifications in ML or data engineering, software development, data science OR equivalent experience.
A hybrid and flexible approach to working."
25,MVP1 Ventures,Remote,Australie,Head of Analytics and Data Science,,"Posted
Posted 30+ days ago","Set up a data analytics, data engineering and data science practice including recruitment, setting up big data and analytics strategy across the organisation…"
26,SymphonyAI,Sydney NSW 2000,Australie,Data Science Consultant,,"Posted
Posted 30+ days ago","Collaborate with data scientists and product implementation engineers during Sensa-NetReveal deployments.
Good working knowledge of Python (Pandas, NumPy, and…"
