,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1,scraping_date
0,Deloitte,Sydney NSW 2000,Australie,Data Scientist | Generative AI,,"Posted
Posted 3 days ago","A minimum 5 years’ relevant work experience with data analytics, feature engineering and model development using market leading machine learning and deep…",18-01-2024
1,Bupa,Hybrid remote in Australia,Australie,Learning Systems and Data Specialist,,"Posted
Posted 3 days ago","Tertiary qualifications in Technology or similar with an interest in professionally development.
We’re a welcoming lot, no matter who you are or where you’ve…",18-01-2024
2,Black.ai,Australia,Australie,Machine Learning Engineer,,"Posted
Posted 30+ days ago","Masters or PhD in fields related to computer science, mathematics, or data science OR equivalent work/industry experience.
Experience with Pytorch or TensorRT.",18-01-2024
3,Foxtel,Hybrid remote in North Ryde NSW,Australie,Data & Analytics Specialist,,"Posted
Posted 3 days ago","You’re skilled in data science, maths and statistics and you’re comfortable with data engineering concepts.
Visualisation of data from data products, analysis…",18-01-2024
4,Sportsbet,Melbourne VIC,Australie,Data Scientist,,"Posted
Posted 7 days ago","From sports modelling to product personalisation, our team thrives on unleashing the power of data to improve the quality, speed and complexity of the decisions…",18-01-2024
5,Australian Government,Sydney NSW,Australie,"Executive Level 1 - Senior Data Analyst, Data Analytics Section",,"Posted
Posted 14 days ago","Apply your data analytical skills in one of government’s most prominent policy reform areas.
Scenario models will be as much part of your work as diverse…",18-01-2024
6,Google,Sydney NSW,Australie,"Senior Research Scientist, Multilingual NLP",,"Posted
Today","From creating experiments and prototyping implementations to designing new architectures, our research scientists work on real-world problems that span the…",18-01-2024
7,Google,Remote in Sydney NSW,Australie,"Student Researcher, 2024",,"Posted
Posted 7 days ago","Experience contributing to research communities or efforts, including publishing papers in conferences or journals.
Ability to communicate in English fluently.",18-01-2024
8,SymphonyAI,Sydney NSW 2000,Australie,Data Science Consultant,,"Posted
Posted 30+ days ago","Collaborate with data scientists and product implementation engineers during Sensa-NetReveal deployments.
Good working knowledge of Python (Pandas, NumPy, and…",18-01-2024
9,Accenture,Sydney NSW,Australie,Expression of Interest: Customer Data Science Senior Manager,,"Posted
Posted 30+ days ago","Proven experience in a senior data science or analytics role, with a background in customer and marketing analytics and modelling.
WHAT’S IN IT FOR YOU?",18-01-2024
10,Powerlink,Brisbane QLD,Australie,Data & Analytics Partner,,"Posted
Posted 30+ days ago","Bachelor's Degree coupled with significant experience in finance and data analytics.
Applying advanced data modelling techniques to convert raw data into…",18-01-2024
11,Jobs for Humanity,Sydney NSW,Australie,Senior/Staff Machine Learning Engineer,,"Posted
Posted 30+ days ago","Build and productionise machine learning models including data preparation/processing pipelines, machine learning orchestrations, improvements of services…",18-01-2024
12,Treasury Wine Estates,Melbourne VIC 3000,Australie,Manager Data Analytics & Insights,,"Posted
Posted 30+ days ago","Create a yearly data & analytics roadmap using internal and external data sources.
Expand TPB's capability into predictive analytics with consumer data.",18-01-2024
13,Queensland Health,Sunshine Coast QLD,Australie,Senior Business Advisor (Data Analytics and Reporting),,"Posted
Posted 7 days ago","Provide high level advice and support to customers and key stakeholders in relation to activity based funding, clinical costing, performance against Service…",18-01-2024
14,Willow Technology Corporation,Hybrid remote in Sydney NSW,Australie,Machine Learning Developer,,"Posted
Posted 30+ days ago","Expertise in data cleaning/manipulation/augmentation.
Demonstrated experience in handling large data sets and relational databases.",18-01-2024
15,The Smith Family,New South Wales,Australie,"Group Manager, Data & AI",,"Posted
Posted 29 days ago","Familiarity with data laws and ethical considerations in data usage.
Development and execution of a comprehensive strategy that integrates advanced analytics,…",18-01-2024
16,Microsoft,Sydney NSW 2000,Australie,Digital Technology Specialist - Data & AI,,"Posted
Posted 14 days ago","Ideally 7+ years technical pre-sales or technical consulting, or related experience.
OR Bachelor’s Degree in Computer Science, Information Technology, or…",18-01-2024
17,Velrada,Greater Adelaide SA,Australie,Data and AI Consultant,,"Posted
Posted 30+ days ago","Development across Business Intelligence, Data Analysis and data warehousing, you will be a solutions focused data insights person.",18-01-2024
18,Holcim,Chatswood NSW 2067,Australie,Head of Data Analytics & Data Management,,"Posted
Posted 1 day ago","You will take a leading role in the development and execution of strategy development with regard to the collection, manipulation, and analysis of data for…",18-01-2024
19,Foxtel Group,Hybrid remote in North Ryde NSW,Australie,Data & Analytics Specialist,,"Posted
Posted 2 days ago","Define and build data products that enable the business to understand and action data insights.
Visualisation of data from data products, analysis and ML models…",18-01-2024
20,JLL,Sydney NSW,Australie,Machine Learning Engineer,,"Posted
Posted 30+ days ago","Study and transformation of data science prototypes.
Experience in software development & machine learning.
Familiarity with machine learning frameworks (like…",18-01-2024
21,Mars,Bathurst NSW 2795,Australie,Data and Analytics Lead,,"Posted
Posted 8 days ago","Align data and analytics efforts with the factory's operational strategy, ensuring that solutions directly address critical business needs and drive measurable…",18-01-2024
22,ANZ Banking Group,Melbourne VIC,Australie,"Machine Learning Engineer, Chapter Lead - ANZ Plus",,"Posted
Posted 30+ days ago","An understanding of how machine learning apps are designed, developed, and deployed.
Scale the impact of ML through enabling data scientists and non-specialist…",18-01-2024
